code,title,prereq,terms,hours,optional,description,instructor,section_head,offered_to
6.100A,Introduction to Computer Science Programming in Python,,"U (Fall, Spring; first half of term)",2-0-4 units,Credit cannot also be received for 6.100L,"Introduction to computer science and programming for students with little or no programming experience. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Combination of 6.100A and 6.100B or 16.C20[J] counts as REST subject. Final given in the seventh week of the term.",A. Bell,Programming & Software Engineering,U
6.100B,Introduction to Computational Thinking and Data Science,6.100A or permission of instructor,"U (Fall, Spring; second half of term)",2-0-4 units,"Credit cannot also be received for 9.C20[J] , 16.C20[J] , 18.C20[J] , CSE.C20[J]","Provides an introduction to using computation to understand real-world phenomena. Topics include plotting, stochastic programs, probability and statistics, random walks, Monte Carlo simulations, modeling data, optimization problems, and clustering. Combination of 6.100A and 6.100B counts as REST subject.","A. Bell, J. V. Guttag",Programming & Software Engineering,U
6.100L,Introduction to Computer Science and Programming,,"U (Fall, Spring)",2-0-4 units,Credit cannot also be received for 6.100A,"Introduction to computer science and programming for students with no programming experience. Presents content taught in 6.100A over an entire semester. Students develop skills to program and use computational techniques to solve problems. Topics include the notion of computation, Python, simple algorithms and data structures, testing and debugging, and algorithmic complexity. Lectures are viewed outside of class; in-class time is dedicated to problem-solving and discussion. Combination of 6.100L and 6.100B or 16.C20[J] counts as REST subject.","A. Bell, J. V. Guttag",Programming & Software Engineering,U
6.1010,Fundamentals of Programming,6.100A,"U (Fall, Spring)",2-4-6 units. Institute LAB,,"Introduces fundamental concepts of programming. Designed to develop skills in applying basic methods from programming languages to abstract problems. Topics include programming and Python basics, computational concepts, software engineering, algorithmic techniques, data types, and recursion.  Lab component consists of software design, construction, and implementation of design. Enrollment may be limited.","D. S. Boning, A. Chlipala, S. Devadas, A. Hartz",Programming & Software Engineering,U
6.1020,Software Construction,6.1010,U (Spring),3-0-12 units,,"Introduces fundamental principles and techniques of software development: how to write software that is safe from bugs, easy to understand, and ready for change. Topics include specifications and invariants; testing, test-case generation, and coverage; abstract data types and representation independence; design patterns for object-oriented programming; concurrent programming, including message passing and shared memory concurrency, and defending against races and deadlock; and functional programming with immutable data and higher-order functions. Includes weekly programming exercises and larger group programming projects.","M. Goldman, R. C. Miller",Programming & Software Engineering,U
6.1040,Software Design,6.1020 and 6.1200[J],U (Fall),4-0-14 units,,"Provides design-focused instruction on how to build complex software applications. Design topics include classic human-computer interaction (HCI) design tactics (need finding, heuristic evaluation, prototyping, user testing), conceptual design (inventing, modeling and evaluating constituent concepts), social and ethical implications, abstract data modeling, and visual design. Implementation topics include reactive front-ends, web services, and databases. Students work both on individual projects and a larger team project in which they design and build full-stack web applications.","D. N. Jackson, A. Satyanarayan",Programming & Software Engineering,U
6.1060,Software Performance Engineering,"6.1020 , 6.1210 , and 6.1910",U (Fall),3-12-3 units,,"Project-based introduction to building efficient, high-performance and scalable software systems. Topics include performance analysis, algorithmic techniques for high performance, instruction-level optimizations, vectorization, cache and memory hierarchy optimization, and parallel programming.","S. Amarasinghe, C. E. Leiserson",Programming & Software Engineering,U
6.5060,Algorithm Engineering,6.1060 and 6.1220[J],G (Spring),3-0-9 units,,"Covers the theory and practice of algorithms and data structures. Topics include models of computation, algorithm design and analysis, and performance engineering of algorithm implementations. Presents the design and implementation of sequential, parallel, cache-efficient, and external-memory algorithms. Illustrates many of the principles of algorithm engineering in the context of parallel algorithms and graph problems.",J. Shun,Programming & Software Engineering,G
6.5080,Multicore Programming,6.1210,G (Spring),4-0-8 units,,"Introduces principles and core techniques for programming multicore machines. Topics include locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and state-of-the-art synchronization techniques, such as transactional memory. Includes sequence of programming assignments on a large multicore machine, culminating with the design of a highly concurrent application. Students taking graduate version complete additional assignments.",N. Shavit,Programming & Software Engineering,G
6.5081,Multicore Programming,6.1210,U (Spring),4-0-8 units,,"Introduces principles and core techniques for programming multicore machines. Topics include locking, scalability, concurrent data structures, multiprocessor scheduling, load balancing, and state-of-the-art synchronization techniques, such as transactional memory. Includes sequence of programming assignments on a large multicore machine, culminating with the design of a highly concurrent application. Students taking graduate version complete additional assignments.",N. Shavit,Programming & Software Engineering,U
6.1100,Computer Language Engineering,6.1020 and 6.1910,U (Spring),4-4-4 units,,"Analyzes issues associated with the implementation of higher-level programming languages. Fundamental concepts, functions, and structures of compilers. The interaction of theory and practice. Using tools in building software. Includes a multi-person project on compiler design and implementation.",M. C. Rinard,Programming Languages,U
6.1120,Dynamic Computer Language Engineering,6.1020 or 6.1910,U (Fall),4-4-4 units,,"Studies the design and implementation of modern, dynamic programming languages. Topics include fundamental approaches for parsing, semantics and interpretation, virtual machines, garbage collection, just-in-time machine code generation, and optimization. Includes a semester-long, group project that delivers a virtual machine that spans all of these topics.",M. Carbin,Programming Languages,U
6.5110,Foundations of Program Analysis,6.1100,G (Fall) Not offered regularly; consult department,3-0-9 units,,"Presents major principles and techniques for program analysis. Includes formal semantics, type systems and type-based program analysis, abstract interpretation and model checking and synthesis. Emphasis on Haskell and Ocaml, but no prior experience in these languages is assumed. Student assignments include implementing of techniques covered in class, including building simple verifiers.",A. Solar-Lezama,Programming Languages,G
6.5120,Formal Reasoning About Programs,6.1020 and 6.1200[J],Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Spring),3-0-9 units,,"Surveys techniques for rigorous mathematical reasoning about correctness of software, emphasizing commonalities across approaches. Introduces interactive computer theorem proving with the Coq proof assistant, which is used for all assignments, providing immediate feedback on soundness of logical arguments. Covers common program-proof techniques, including operational semantics, model checking, abstract interpretation, type systems, program logics, and their applications to functional, imperative, and concurrent programs. Develops a common conceptual framework based on invariants, abstraction, and modularity applied to state and labeled transition systems.",A. Chlipala,Programming Languages,G
6.5150,Large-scale Symbolic Systems,6.4100 or permission of instructor,G (Spring),3-0-9 units,,"Concepts and techniques for the design and implementation of large software systems that can be adapted to uses not anticipated by the designer. Applications include compilers, computer-algebra systems, deductive systems, and some artificial intelligence applications. Covers means for decoupling goals from strategy, mechanisms for implementing additive data-directed invocation, work with partially-specified entities, and how to manage multiple viewpoints. Topics include combinators, generic operations, pattern matching, pattern-directed invocation, rule systems, backtracking, dependencies, indeterminacy, memoization, constraint propagation, and incremental refinement. Students taking graduate version complete additional assignments.",G. J. Sussman,Programming Languages,G
6.5151,Large-scale Symbolic Systems,6.4100 or permission of instructor,U (Spring),3-0-9 units,,"Concepts and techniques for the design and implementation of large software systems that can be adapted to uses not anticipated by the designer. Applications include compilers, computer-algebra systems, deductive systems, and some artificial intelligence applications. Covers means for decoupling goals from strategy, mechanisms for implementing additive data-directed invocation, work with partially-specified entities, and how to manage multiple viewpoints. Topics include combinators, generic operations, pattern matching, pattern-directed invocation, rule systems, backtracking, dependencies, indeterminacy, memoization, constraint propagation, and incremental refinement. Students taking graduate version complete additional assignments.",G. J. Sussman,Programming Languages,U
6.5160[J],Classical Mechanics: A Computational Approach,"Physics I (GIR) , 18.03 , and permission of instructor",G (Fall),3-3-6 units,,See description under subject 12.620[J] .,"J. Wisdom, G. J. Sussman",Programming Languages,G
6.1200[J],Mathematics for Computer Science,Calculus I (GIR),"U (Fall, Spring)",5-0-7 units. REST,,"Elementary discrete mathematics for science and engineering, with a focus on mathematical tools and proof techniques useful in computer science. Topics include logical notation, sets, relations, elementary graph theory, state machines and invariants, induction and proofs by contradiction, recurrences, asymptotic notation, elementary analysis of algorithms, elementary number theory and cryptography, permutations and combinations, counting tools, and discrete probability.","Z. R. Abel, F. T. Leighton, A. Moitra",Theoretical Computer Science,U
6.120A,Discrete Mathematics and Proof for Computer Science,Calculus I (GIR),U (Spring; second half of term),3-0-3 units,,"Subset of elementary discrete mathematics for science and engineering useful in computer science. Topics may include logical notation, sets, done relations, elementary graph theory, state machines and invariants, induction and proofs by contradiction, recurrences, asymptotic notation, elementary analysis of algorithms, elementary number theory and cryptography, permutations and combinations, counting tools.",Staff,Theoretical Computer Science,U
6.1210,Introduction to Algorithms,"6.100A and ( 6.1200[J] or ( 6.120A and ( 6.3700 , 6.3800 , 18.05 , or 18.600 )))","U (Fall, Spring)",5-0-7 units,,"Introduction to mathematical modeling of computational problems, as well as common algorithms, algorithmic paradigms, and data structures used to solve these problems. Emphasizes the relationship between algorithms and programming, and introduces basic performance measures and analysis techniques for these problems. Enrollment may be limited.","E. Demaine, S. Devadas",Theoretical Computer Science,U
6.1220[J],Design and Analysis of Algorithms,6.1200[J] and 6.1210,"U (Fall, Spring)",4-0-8 units,,"Techniques for the design and analysis of efficient algorithms, emphasizing methods useful in practice. Topics include sorting; search trees, heaps, and hashing; divide-and-conquer; dynamic programming; greedy algorithms; amortized analysis; graph algorithms; and shortest paths. Advanced topics may include network flow; computational geometry; number-theoretic algorithms; polynomial and matrix calculations; caching; and parallel computing.","E. Demaine, M. Goemans, S. Raghuraman",Theoretical Computer Science,U
6.1400[J],Computability and Complexity Theory,( 6.1200[J] and 6.1210 ) or permission of instructor,U (Spring),4-0-8 units,,"Mathematical introduction to the theory of computing. Rigorously explores what kinds of tasks can be efficiently solved with computers by way of finite automata, circuits, Turing machines, and communication complexity, introducing students to some major open problems in mathematics. Builds skills in classifying computational tasks in terms of their difficulty. Discusses other fundamental issues in computing, including the Halting Problem, the Church-Turing Thesis, the P versus NP problem, and the power of randomness.","R. Williams, R. Rubinfeld",Theoretical Computer Science,U
6.1420,Fixed Parameter and Fine-grained Computation,"6.1200[J] , 6.1210 , and ( 6.1220[J] , 6.1400[J] , or 18.404 )",Acad Year 2024-2025: U (Fall) Acad Year 2025-2026: Not offered,3-0-9 units,,"An overview of the theory of parameterized algorithms and the ""problem-centric"" theory of fine-grained complexity, both of which reconsider how to measure the difficulty and feasibility of solving computational problems. Topics include: fixed-parameter tractability (FPT) and its characterizations, the W-hierarchy (W[1], W[2], W[P], etc.), 3-sum-hardness, all-pairs shortest paths (APSP)-equivalences, strong exponential time hypothesis (SETH) hardness of problems, and the connections to circuit complexity and other aspects of computing.","R. Williams, V. Williams",Theoretical Computer Science,U
6.5210[J],Advanced Algorithms,"6.1220[J] and ( 6.1200[J] , 6.3700 , or 18.600 )",G (Fall),5-0-7 units,,"First-year graduate subject in algorithms. Emphasizes fundamental algorithms and advanced methods of algorithmic design, analysis, and implementation. Surveys a variety of computational models and the algorithms for them. Data structures, network flows, linear programming, computational geometry, approximation algorithms, online algorithms, parallel algorithms, external memory, streaming algorithms.","A. Moitra, D. R. Karger",Theoretical Computer Science,G
6.5220[J],Randomized Algorithms,( 6.1200[J] or 6.3700 ) and ( 6.1220[J] or 6.5210[J] ),Acad Year 2024-2025: G (Spring) Acad Year 2025-2026: Not offered,5-0-7 units,,"Studies how randomization can be used to make algorithms simpler and more efficient via random sampling, random selection of witnesses, symmetry breaking, and Markov chains. Models of randomized computation. Data structures: hash tables, and skip lists. Graph algorithms: minimum spanning trees, shortest paths, and minimum cuts. Geometric algorithms: convex hulls, linear programming in fixed or arbitrary dimension. Approximate counting; parallel algorithms; online algorithms; derandomization techniques; and tools for probabilistic analysis of algorithms.",D. R. Karger,Theoretical Computer Science,G
6.5230,Advanced Data Structures,6.1220[J],Acad Year 2024-2025: G (Spring) Acad Year 2025-2026: Not offered,3-0-9 units,,More advanced and powerful data structures for answering several queries on the same data. Such structures are crucial in particular for designing efficient algorithms. Dictionaries; hashing; search trees. Self-adjusting data structures; linear search; splay trees; dynamic optimality. Integer data structures; word RAM. Predecessor problem; van Emde Boas priority queues; y-fast trees; fusion trees. Lower bounds; cell-probe model; round elimination. Dynamic graphs; link-cut trees; dynamic connectivity. Strings; text indexing; suffix arrays; suffix trees. Static data structures; compact arrays; rank and select. Succinct data structures; tree encodings; implicit data structures. External-memory and cache-oblivious data structures; B-trees; buffer trees; tree layout; ordered-file maintenance. Temporal data structures; persistence; retroactivity.,E. D. Demaine,Theoretical Computer Science,G
6.5240,Sublinear Time Algorithms,6.1220[J] or permission of instructor,Acad Year 2024-2025: G (Fall) Acad Year 2025-2026: Not offered,3-0-9 units,,"Sublinear time algorithms understand parameters and properties of input data after viewing only a minuscule fraction of it. Tools from number theory, combinatorics, linear algebra, optimization theory, distributed algorithms, statistics, and probability are covered. Topics include: testing and estimating properties of distributions, functions, graphs, strings, point sets, and various combinatorial objects.",R. Rubinfeld,Theoretical Computer Science,G
6.5250[J],Distributed Algorithms,6.1220[J],Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Spring),3-0-9 units,,"Design and analysis of algorithms, emphasizing those suitable for use in distributed networks. Covers various topics including distributed graph algorithms, locality constraints, bandwidth limitations and communication complexity, process synchronization, allocation of computational resources, fault tolerance, and asynchrony. No background in distributed systems required.","M. Ghaffari, N. A. Lynch",Theoretical Computer Science,G
6.5310,"Geometric Folding Algorithms: Linkages, Origami, Polyhedra",6.1220[J] or permission of instructor,G (Fall) Not offered regularly; consult department,3-0-9 units,,"Covers discrete geometry and algorithms underlying the reconfiguration of foldable structures, with applications to robotics, manufacturing, and biology. Linkages made from one-dimensional rods connected by hinges: constructing polynomial curves, characterizing rigidity, characterizing unfoldable versus locked, protein folding. Folding two-dimensional paper (origami): characterizing flat foldability, algorithmic origami design, one-cut magic trick. Unfolding and folding three-dimensional polyhedra: edge unfolding, vertex unfolding, gluings, Alexandrov's Theorem, hinged dissections.",E. D. Demaine,Theoretical Computer Science,G
6.5320,Geometric Computing,6.1220[J],Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Spring),3-0-9 units,,"Introduction to the design and analysis of algorithms for geometric problems, in low- and high-dimensional spaces. Algorithms: convex hulls, polygon triangulation, Delaunay triangulation, motion planning, pattern matching. Geometric data structures: point location, Voronoi diagrams, Binary Space Partitions. Geometric problems in higher dimensions: linear programming, closest pair problems. High-dimensional nearest neighbor search and low-distortion embeddings between metric spaces. Geometric algorithms for massive data sets: external memory and streaming algorithms. Geometric optimization.",P. Indyk,Theoretical Computer Science,G
6.5340,Topics in Algorithmic Game Theory,6.1210 or 6.1220[J],G (Spring),3-0-9 units,,"Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy.",K. Daskalakis,Theoretical Computer Science,G
6.5350,Matrix Multiplication and Graph Algorithms,6.1220[J],G (Fall) Not offered regularly; consult department,3-0-9 units,,"Explores topics around matrix multiplication (MM) and its use in the design of graph algorithms. Focuses on problems such as transitive closure, shortest paths, graph matching, and other classical graph problems. Explores fast approximation algorithms when MM techniques are too expensive.",V. Williams,Theoretical Computer Science,G
6.5400[J],Theory of Computation,6.1200[J] or 18.200,G (Fall),4-0-8 units,,See description under subject 18.4041[J] .,M. Sipser,Theoretical Computer Science,G
6.5410[J],Advanced Complexity Theory,18.404,G (Spring),3-0-9 units,,See description under subject 18.405[J] .,R. Williams,Theoretical Computer Science,G
6.5420,Randomness and Computation,6.1220[J] and 18.4041[J],Acad Year 2024-2025: G (Spring) Acad Year 2025-2026: Not offered,3-0-9 units,,"The power and sources of randomness in computation. Connections and applications to computational complexity, computational learning theory, cryptography and combinatorics. Topics include: probabilistic proofs, uniform generation and approximate counting, Fourier analysis of Boolean functions, computational learning theory, expander graphs, pseudorandom generators, derandomization.",R. Rubinfeld,Theoretical Computer Science,G
6.5430,Quantum Complexity Theory,"6.1400[J] , 18.4041[J] , and 18.435[J]",G (Spring),3-0-9 units,,"Introduction to quantum computational complexity theory, the study of the fundamental capabilities and limitations of quantum computers. Topics include complexity classes, lower bounds, communication complexity, proofs and advice, and interactive proof systems in the quantum world; classical simulation of quantum circuits. The objective is to bring students to the research frontier.",Staff,Theoretical Computer Science,G
6.1600,Foundations of Computer Security,( 6.1210 and ( 6.1800 or 6.1810 )) or permission of instructor,U (Fall),4-0-8 units,,"Fundamental notions and big ideas for achieving security in computer systems. Topics include cryptographic foundations (pseudorandomness, collision-resistant hash functions, authentication codes, signatures, authenticated encryption, public-key encryption), systems ideas (isolation, non-interference, authentication, access control, delegation, trust), and implementation techniques (privilege separation, fuzzing, symbolic execution, runtime defenses, side-channel attacks). Case studies of how these ideas are realized in deployed systems. Lab assignments apply ideas from lectures to learn how to build secure systems and how they can be attacked.","H. Corrigan-Gibbs, S. Devadas, S. Goldwasser, Y. Kalai, S. Micali, R. Rivest, V. Vaikuntanathan, N. Zeldovich",Security & Cryptography,U
6.5610,Applied Cryptography and Security,6.1200[J] and 6.1800,G (Spring),4-0-8 units,,"Emphasis on applied cryptography. May include: basic notion of systems security, cryptographic hash functions, symmetric cryptography (one-time pad, block ciphers, stream ciphers, message authentication codes), hash functions, key-exchange, public-key cryptography (encryption, digital signatures), elliptic curve cryptography,  secret-sharing, fully homomorphic encryption, zero-knowledge proofs, and electronic voting. Assignments include a final group project. Topics may vary year to year.","H. Corrigan-Gibbs, Y. Kalai",Security & Cryptography,G
6.5620[J],Foundations of Cryptography,"6.1220[J] , 6.1400[J] , or 18.4041[J]",Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Fall),3-0-9 units,,"A rigorous introduction to modern cryptography. Emphasis on the fundamental cryptographic primitives such as public-key encryption, digital signatures, and pseudo-random number generation, as well as advanced cryptographic primitives such as zero-knowledge proofs, homomorphic encryption, and secure multiparty computation.","S. Goldwasser, S. Micali, V. Vaikuntanathan",Security & Cryptography,G
6.5630,Advanced Topics in Cryptography,6.5620[J],G (Fall),3-0-9 units,Can be repeated for credit.,In-depth exploration of recent results in cryptography.,"S. Goldwasser, Y. Kalai, S. Micali, V. Vaikuntanathan",Security & Cryptography,G
6.5660,Computer Systems Security,6.1020 and ( 6.1800 or 6.1810 ),G (Spring),3-6-3 units,,"Design and implementation of secure computer systems. Lectures cover attacks that compromise security as well as techniques for achieving security, based on recent research papers. Topics include operating system security, privilege separation, capabilities, language-based security, cryptographic network protocols, trusted hardware, and security in web applications and mobile phones. Labs involve implementing and compromising a web application that sandboxes arbitrary code, and a group final project.",N. B. Zeldovich,Security & Cryptography,G
6.1800,Computer Systems Engineering,6.1910,U (Spring),5-1-6 units,,"Topics on the engineering of computer software and hardware systems: techniques for controlling complexity; strong modularity using client-server design, operating systems; performance, networks; naming; security and privacy; fault-tolerant systems, atomicity and coordination of concurrent activities, and recovery; impact of computer systems on society. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Includes a single, semester-long design project. Students engage in extensive written communication exercises. Enrollment may be limited.",K. LaCurts,Computer Systems,U
6.1810,Operating System Engineering,6.1910,U (Fall),3-0-9 units,,"Design and implementation of operating systems, and their use as a foundation for systems programming. Topics include virtual memory, file systems, threads, context switches, kernels, interrupts, system calls, interprocess communication, coordination, and interaction between software and hardware. A multi-processor operating system for RISC-V, xv6, is used to illustrate these topics. Individual laboratory assignments involve extending the xv6 operating system, for example to support sophisticated virtual memory features and networking.","A. Belay, M. F. Kaashoek, R. T. Morris",Computer Systems,U
6.1820[J],Mobile and Sensor Computing,6.1800 or permission of instructor,U (Spring) Not offered regularly; consult department,3-0-9 units,,"Focuses on ""Internet of Things"" (IoT) systems and technologies, sensing, computing, and communication. Explores fundamental design and implementation issues in the engineering of mobile and sensor computing systems. Topics include battery-free sensors, seeing through wall, robotic sensors, vital sign sensors (breathing, heartbeats, emotions), sensing in cars and autonomous vehicles, subsea IoT, sensor security, positioning technologies (including GPS and indoor WiFi), inertial sensing (accelerometers, gyroscopes, inertial measurement units, dead-reckoning), embedded and distributed system architectures, sensing with radio signals, sensing with microphones and cameras, wireless sensor networks, embedded and distributed system architectures, mobile libraries and APIs to sensors, and application case studies. Includes readings from research literature, as well as laboratory assignments and a significant term project.","H. Balakrishnan, S. Madden, F. Adib",Computer Systems,U
6.1850,Computer Systems and Society,6.1800,U (Fall),3-0-9 units,,"Explores the impact of computer systems on individual humans, society, and the environment. Examines large- and small-scale power structures that stem from low-level technical design decisions, the consequences of those structures on society, and how they can limit or provide access to certain technologies. Students learn to assess design decisions within an ethical framework and consider the impact of their decisions on non-users. Case studies of working systems and readings from the current literature provide comparisons and contrasts. Possible topics include the implications of hierarchical designs (e.g., DNS) for scale; how layered models influence what parts of a network have the power to take certain actions; and the environmental impact of proof-of-work-based systems such as Bitcoin. Enrollment may be limited.",K. LaCurts,Computer Systems,U
6.5810,Operating System Engineering,6.1020 and ( 6.1800 or 6.1810 ),Acad Year 2024-2025: Not offered Acad Year 2025-2026: G (Fall),3-6-3 units,,"Fundamental design and implementation issues in the engineering of operating systems. Lectures based on the study of a symmetric multiprocessor version of UNIX version 6 and research papers. Topics include virtual memory; file system; threads; context switches; kernels; interrupts; system calls; interprocess communication; coordination, and interaction between software and hardware. Individual laboratory assignments accumulate in the construction of a minimal operating system (for an x86-based personal computer) that implements the basic operating system abstractions and a shell. Knowledge of programming in the C language is a prerequisite.",M. F. Kaashoek,Computer Systems,G
6.5820,Computer Networks,6.1800 or permission of instructor,G (Fall),4-0-8 units,,"Topics on the engineering and analysis of network protocols and architecture, including architectural principles for designing heterogeneous networks; transport protocols; Internet routing; router design; congestion control and network resource management; wireless networks; network security; naming; overlay and peer-to-peer networks. Readings from original research papers. Semester-long project and paper.","H. Balakrishnan, D. Katabi",Computer Systems,G
6.5830,Database Systems,(( 6.1210 or 6.1220[J] ) and ( 6.1800 or 6.1810 )) or permission of instructor,G (Fall),3-0-9 units,,"Topics related to the engineering and design of database systems, including data models; database and schema design; schema normalization and integrity constraints; query processing; query optimization and cost estimation; transactions; recovery; concurrency control; isolation and consistency; distributed, parallel and heterogeneous databases; adaptive databases; trigger systems; pub-sub systems; semi structured data and XML querying. Lecture and readings from original research papers. Semester-long project and paper. Students taking graduate version complete different assignments. Enrollment may be limited.",S. R. Madden,Computer Systems,G
6.5831,Database Systems,(( 6.1210 or 6.1220[J] ) and ( 6.1800 or 6.1810 )) or permission of instructor,U (Fall),3-0-9 units,,"Topics related to the engineering and design of database systems, including data models; database and schema design; schema normalization and integrity constraints; query processing; query optimization and cost estimation; transactions; recovery; concurrency control; isolation and consistency; distributed, parallel and heterogeneous databases; adaptive databases; trigger systems; pub-sub systems; semi structured data and XML querying. Lecture and readings from original research papers. Semester-long project and paper. Students taking graduate version complete different assignments. Enrollment may be limited.",S. R. Madden,Computer Systems,U
6.5840,Distributed Computer Systems Engineering,"6.1800 , 6.1810 , or permission of instructor",G (Spring),3-0-9 units,,"Abstractions and implementation techniques for engineering distributed systems: remote procedure call, threads and locking, client/server, peer-to-peer, consistency, fault tolerance, and security. Readings from current literature. Individual laboratory assignments culminate in the construction of a fault-tolerant and scalable network file system. Programming experience with C/C++ required. Enrollment limited.","R. T. Morris, M. F. Kaashoek",Computer Systems,G
6.5850,Principles of Computer Systems,Permission of instructor,G (Fall) Not offered regularly; consult department,3-0-9 units,,"Introduction to the basic principles of computer systems with emphasis on the use of rigorous techniques as an aid to understanding and building modern computing systems. Particular attention paid to concurrent and distributed systems. Topics include: specification and verification, concurrent algorithms, synchronization, naming, Networking, replication techniques (including distributed cache management), and principles and algorithms for achieving reliability.","M. F. Kaashoek, B. Lampson, N. B. Zeldovich",Computer Systems,G
6.1903,Introduction to Low-level Programming in C and Assembly,6.100A,U (Spring; first half of term),2-2-2 units,Credit cannot also be received for 6.1904,"Introduction to C and assembly language for students coming from a Python background ( 6.100A ). Studies the C language, focusing on memory and associated topics including pointers, how different data structures are stored in memory, the stack, and the heap in order to build a strong understanding of the constraints involved in manipulating complex data structures in modern computational systems. Studies assembly language to facilitate a firm understanding of how high-level languages are translated to machine-level instructions.","J. D. Steinmeyer, S. Z. Hanono Wachman",Computer Architecture,U
6.1904,Introduction to Low-level Programming in C and Assembly,6.100A,U (Spring; second half of term),2-2-2 units,Credit cannot also be received for 6.1903,"Introduction to C and assembly language for students coming from a Python background ( 6.100A ). Studies the C language, focusing on memory and associated topics including pointers, how different data structures are stored in memory, the stack, and the heap in order to build a strong understanding of the constraints involved in manipulating complex data structures in modern computational systems. Studies assembly language to facilitate a firm understanding of how high-level languages are translated to machine-level instructions.","J. D. Steinmeyer, S. Z. Hanono Wachman",Computer Architecture,U
6.1910,Computation Structures,"Physics II (GIR) , 6.100A , and ( Coreq: 6.1903 or 6.1904 ); or permission of instructor","U (Fall, Spring)",4-0-8 units. REST,,"Provides an introduction to the design of digital systems and computer architecture. Emphasizes expressing all hardware designs in a high-level hardware description language and synthesizing the designs. Topics include combinational and sequential circuits, instruction set abstraction for programmable hardware, single-cycle and pipelined processor implementations, multi-level memory hierarchies, virtual memory, exceptions and I/O, and parallel systems.","S. Z. Hanono Wachman, D. Sanchez",Computer Architecture,U
6.1920,Constructive Computer Architecture,6.1910,U (Spring),3-8-1 units,,"Illustrates a constructive (as opposed to a descriptive) approach to computer architecture. Topics include combinational and pipelined arithmetic-logic units (ALU), in-order pipelined microarchitectures, branch prediction, blocking and unblocking caches, interrupts, virtual memory support, cache coherence and multicore architectures. Labs in a modern Hardware Design Language (HDL) illustrate various aspects of microprocessor design, culminating in a term project in which students present a multicore design running on an FPGA board.",Arvind,Computer Architecture,U
